Comment,Actual_Sentiment,Cleaned_Comment
👍👌🙏🌹,positive,👍👌🙏🌹
Congratulations for your upcoming movie...❤️✌️🤗,positive,congratulation upcoming movie❤️✌️🤗
Arif talks well 😊,positive,arif talk well
Anyone here in 2035,neutral,anyone
Then y did he get married..paapa ah hudugi...,neutral,get marriedpaapa hudugi
I am from Bihar 😊a district madhubani please pin me 🥺,positive,bihar district madhubani please pin
Nice haa app ke team 🎉,positive,nice haa app team
Happy Holi sir,positive,happy holi sir
Season 3 aayega sir,neutral,season aayega sir
555555 ไม่เคยตายไมค์ สัมฯสนุกมากลูก🤣,positive,ไม่เคยตายไมค์ สัมฯสนุกมากลูก🤣
"Cooking vlog ✅
 Movie✅",neutral,cooking vlog movie✅
"All our dreams can come true, if we have the courage to pursue them..👍",positive,dream come true courage pursue them👍
"❤ᱡᱚᱦᱟᱨ❤
 🎉ᱥᱟᱹᱜᱩᱱ ᱥᱮᱛᱟᱜ🎉
 ""ᱦᱤᱨᱞᱟᱹᱢᱟᱨᱟᱝ ᱵᱳᱨᱳ""᱾",positive,❤ᱡᱚᱦᱟᱨ❤ 🎉ᱥᱟᱹᱜᱩᱱ ᱥᱮᱛᱟᱜ🎉 ᱦᱤᱨᱞᱟᱹᱢᱟᱨᱟᱝ ᱵᱳᱨᱳ᱾
Sir you're my inspiration 🥺 taza khabar season 2 dekhliya pura apki video dekh kr lagta h me bhi kuch toh ukhadunga aapki video bhot motivation deti hai 🥹❤️,positive,sir youre inspiration taza khabar season dekhliya pura apki video dekh lagta bhi kuch toh ukhadunga aapki video bhot motivation deti hai 🥹❤️
Rani nai baler golpo😂,positive,rani nai baler golpo😂
"Mein chahta hu ki bharat Dictatorship rahe democracy nahi,Neta ke bajaaye kisi padhe likhe insaan ko Dictator banao",neutral,mein chahta bharat dictatorship rahe democracy nahineta bajaaye kisi padhe likhe insaan dictator banao
ଦେଖାକରିବାକୁ ମର ଇଛା,neutral,ଦେଖାକରିବାକୁ ଇଛା
ಬಡವರಿಗೆ ಸಹಾಯ ಮಾಡು ಅಂಬಾನಿ😂😂,positive,ಬಡವರಿಗೆ ಸಹಾಯ ಮಾಡು ಅಂಬಾನಿ😂😂
होपलेस व्हिडिओ बनवला.,neutral,होपलेस व्हिडिओ बनवला
"ചലം ചേനൽ ഇന്ത്യയിൽ അല്ലെ പ്രവർത്തിക്കുന്നത് 
 ഇന്ത്യയിലുള്ള ഇസ്രായേൽ അംബാസിറ്റർ ഈ വിഷയത്തിൽ ഇന്ത്യ ഇടപ്പെട്ട് 
 യുദ്ധം നിർത്തി തരണമെന്ന് പറഞ്ഞത് സംഘി ചേനൽ അറിഞ്ഞില്ലേ....
 കഷ്ടം",neutral,ചലം ചേനൽ ഇന്ത്യയിൽ അല്ലെ പ്രവർത്തിക്കുന്നത് ഇന്ത്യയിലുള്ള ഇസ്രായേൽ അംബാസിറ്റർ വിഷയത്തിൽ ഇന്ത്യ ഇടപ്പെട്ട് യുദ്ധം നിർത്തി തരണമെന്ന് പറഞ്ഞത് സംഘി ചേനൽ അറിഞ്ഞില്ലേ കഷ്ടം
Paise se ameer loga utuber ko bhi kharida lete h 🤑🤑🤑,neutral,paisa ameer loga utuber bhi kharida lete 🤑🤑🤑
মাশাআল্লাহ,neutral,মাশাআল্লাহ
Nothing is more attractive than a kind and friendly family oriented man that can cook😂. Which guy do you like the best? 👇🏼. Also… camera man you are incredible!,positive,nothing attractive kind friendly family oriented man cook😂 guy like best also… camera man incredible
Hey bahvin love from pakistan,positive,hey bahvin love pakistan
Ek namra vinanti Prajakta Mali Uttam anchor asel pan please tila nivedan aahe ki madhe madhe ordu naye skit che dialogues aiku dyave….ani ho expert asal pan expert comments sathi judge basleyt….in other words you being an anchor please take the ship of skits to the dock of judges it’s a request,positive,namra vinanti prajakta mali uttam anchor asel pan please tila nivedan aahe madhe madhe ordu naye skit che dialogue aiku dyave…ani expert asal pan expert comment sathi judge basleyt…in word anchor please take ship skit dock judge request
Nice bhavu ❤,positive,nice bhavu
Hayyyy apki ankhen 🙈🙈🙈,neutral,hayyyy apki ankhen 🙈🙈🙈
আমি ক্লাস টেনে পড়ি কিন্তু কার্টুন আমার অনেক পছন্দ,neutral,আমি ক্লাস টেনে পড়ি কিন্তু কার্টুন আমার অনেক পছন্দ
"Used to watch these during college days in Btech. Now , around 28/29 age and still they are funny and nostalgic 😊",positive,used watch college day btech around age still funny nostalgic
നല്ല ചികിത്സ അല്ലേ എല്ലാ രാഷ്ട്രീയക്കാർക്കും പാവപ്പെട്ടവന് കിട്ടുമോ ചിന്തിക്കൂ ജനമേ,neutral,നല്ല ചികിത്സ അല്ലേ എല്ലാ രാഷ്ട്രീയക്കാർക്കും പാവപ്പെട്ടവന് കിട്ടുമോ ചിന്തിക്കൂ ജനമേ
I felt same what to do 😢😢😢,negative,felt 😢😢😢
Modi hai to mumkin nhi hai...,neutral,modi hai mumkin nhi hai
You're just fabulous brother love u,positive,youre fabulous brother love
Blackberry ka name nahi aya,neutral,blackberry name nahi aya
we want more,neutral,want
😉❤️😉❤️❤️❤️❤️😉,neutral,😉❤️😉❤️❤️❤️❤️😉
Maby u Ice not open that’s by u not watching ur good country Polytassion kill one man in Canada stopped maby India u Hiriring for this vite,negative,maby ice open watching good country polytassion kill one man canada stopped maby india hiriring vite
Kabhi bhi nai 🥺,neutral,kabhi bhi nai
Bunty kab ayega🥺🥺,neutral,bunty kab ayega🥺🥺
ಸೌಜನ್ಯ ಕೇಸ್ ಬಗ್ಗೆ ಹೇಳಿ,neutral,ಸೌಜನ್ಯ ಕೇಸ್ ಬಗ್ಗೆ ಹೇಳಿ
❤❤शुभ❤❤ प्रभात ❤❤,positive,❤❤शुभ❤❤ प्रभात
Ayieee🥺❤,positive,ayieee🥺❤
"ଜୟ ହିନ୍ଦ୍,ବନ୍ଦେ ମାତରଂ",neutral,ହିନ୍ଦ୍ବନ୍ଦେ ମାତରଂ
Super very movment to village cooking channal❤❤❤❤❤❤❤❤,positive,super movment village cooking channal❤❤❤❤❤❤❤❤
അസ്കർ തീവ്രവാദി തന്നെ,neutral,അസ്കർ തീവ്രവാദി തന്നെ
সুন্দর একটা গল্প,neutral,সুন্দর একটা গল্প
ചോസൂകുട്ടീ ഓടിക്കോടാ.......? കമ്മീ.......???????,neutral,ചോസൂകുട്ടീ ഓടിക്കോടാ കമ്മീ
Camera editing performance taste all in one 🥰,positive,camera editing performance taste one
10:17 🤣🤣🤣🤣🤣,positive,🤣🤣🤣🤣🤣
Hlo bhai plz iske upar bhi video banao youtube pr live chalte time agar phone switch off ho jata hai toh vo live delete ho jati. Hai ❤️❤️ plz video banao jaldi,neutral,hlo bhai plz iske upar bhi video banao youtube live chalte time agar phone switch jata hai toh live delete jati hai ❤️❤️ plz video banao jaldi
Banti kab aa rha he🤩🤩excited,neutral,banti kab rha he🤩🤩excited
Good morning to everyone 🎉,positive,good morning everyone
Black man change your hiating style runmba asya erokuda,neutral,black man change hiating style runmba asya erokuda
Thonkiu,neutral,thonkiu
Anyone in 2025😅,positive,anyone
खूप खूप खूप छान सादरीकरण,neutral,खूप खूप खूप छान सादरीकरण
Oyy hooyy bhavsu 🤭😍😍😍😍,positive,oyy hooyy bhavsu 🤭😍😍😍😍
Awesome singer of All time Lucky Ali sir ❤ my favourite,positive,awesome singer time lucky ali sir favourite
I love fairy tales,positive,love fairy tale
This entire act was not so good... The actors are good but the concept was not good.. What happend to their writers ???? 😢,negative,entire act good actor good concept good happend writer
"100 দিনের কাজ কোথায় গেল, চাকরি বাতিল হলো কেন",neutral,দিনের কাজ কোথায় গেল চাকরি বাতিল হলো কেন
"Ufff😍😍,kya expression ha🔥🔥dil ko chu jata ha",positive,ufff😍😍kya expression ha🔥🔥dil chu jata
"A heuchi 
  Kamiti balara bhul",neutral,heuchi kamiti balara bhul
Redmi note 14 pro Max kab aye ga,neutral,redmi note pro max kab aye
বিজেপি র কাজ।,neutral,বিজেপি কাজ।
Please keo immediately initiative nin ...sarir din ke din kharap hocche uner....full body check up including head,neutral,please keo immediately initiative nin sarir din din kharap hocche unerfull body check including head
Vaila echil ooruthu neenga sapudratha pakuk pothu🤤🤤,neutral,vaila echil ooruthu neenga sapudratha pakuk pothu🤤🤤
Kya borra re hindi me bol sobku samjne ata ni bole to atleast english bol,neutral,kya borra hindi bol sobku samjne ata bole atleast english bol
Ggffffff😄,positive,ggffffff😄
Hyyy mai marjava meri jaan 💝💝💝,positive,hyyy mai marjava meri jaan 💝💝💝
"Very good video 
 Everyone to see and forward this video, so people will understand the importance of South and Tamil Pride",positive,good video everyone see forward video people understand importance south tamil pride
Isme ms paint chalega??,neutral,isme paint chalega
Ivane adyam kollanam,neutral,ivane adyam kollanam
Iran jindabad ❤❤❤❤❤❤❤,positive,iran jindabad ❤❤❤❤❤❤❤
Tama muda au kama karuni,neutral,tama muda kama karuni
Kbhiiii alvida na khna ☹️,neutral,kbhiiii alvida khna
"Good video...Poonam Pandey's stunt news hit Australian, Western countries news as well...Ask your doctor about pap smear if you are a girl 😊",positive,good videopoonam pandeys stunt news hit australian western country news wellask doctor pap smear girl
Khrch bolla bhai prajakta la kadha show madhun kahich kamachi nahi over acting chi dukan,neutral,khrch bolla bhai prajakta kadha show madhun kahich kamachi nahi acting chi dukan
🖤🖤🖤🖤🖤🖤🖤,positive,🖤🖤🖤🖤🖤🖤🖤
"ତତ୍ତ୍ୱପ୍ରକାଶ ଶତପଥି (ପପୁ ଭାଇ )ଜଣେ ବହୁତ ଜ୍ଞାନୀ ମଣିଷ 
 ବହୁତ ଭଲଲାଗିଲା ପୋଡ଼କାଷ୍ଟ ଟି 
 ଆଦ୍ୟାଦେବୀ ମା ବିରଜା 🙏🙏🙏🙏
 ଏବଂ ମହାପ୍ରଭୁ ଜଗନ୍ନାଥ ଙ୍କ 🙏🙏🙏 ଆଶୀର୍ବାଦ ରୁ ଜୀବନର ଚଲାପଥ କୁସୁମିତ ହେଉ 🙏🙏💐
 ସବୁବେଳେ ଏହିପରି ଚମକନ୍ତୁ 🙏🙏",neutral,ତତ୍ତ୍ୱପ୍ରକାଶ ଶତପଥି ପପୁ ଭାଇ ଜଣେ ବହୁତ ଜ୍ଞାନୀ ମଣିଷ ବହୁତ ଭଲଲାଗିଲା ପୋଡ଼କାଷ୍ଟ ଆଦ୍ୟାଦେବୀ ବିରଜା 🙏🙏🙏🙏 ଏବଂ ମହାପ୍ରଭୁ ଜଗନ୍ନାଥ ଙ୍କ 🙏🙏🙏 ଆଶୀର୍ବାଦ ଜୀବନର ଚଲାପଥ କୁସୁମିତ ହେଉ 🙏🙏💐 ସବୁବେଳେ ଏହିପରି ଚମକନ୍ତୁ
Always with you❤,positive,always you❤
Excellent real reply deichhanti❤❤,positive,excellent real reply deichhanti❤❤
আমি এখনো পিচ্চি আমার বয়স ১১,neutral,আমি এখনো পিচ্চি আমার বয়স
Whatever inauguration is done only for vote gimmicks because after inauguration no work is done,negative,whatever inauguration done vote gimmick inauguration work done
SIr please sir Pani puri and Gobi India ge hege introduce aitu anta vlog madi sir pleeeeeeeeeeees 😢😢😢😢,negative,sir please sir pani puri gobi india hege introduce aitu anta vlog madi sir pleeeeeeeeeeees 😢😢😢😢
GOOD ANALYSIS.,positive,good analysis
Congress attitude never will change....,neutral,congress attitude never change
Good morning sir 🌅🌄🌄🌄🌄🌄 Jay maa tarini 🌺🌺🌺🌺🌺🌺 bhadrak chandabali,positive,good morning sir 🌅🌄🌄🌄🌄🌄 jay maa tarini 🌺🌺🌺🌺🌺🌺 bhadrak chandabali
Bahut sunder hrudaya manish rani didi bahut clear heart' manish kouthi rajucha didi,positive,bahut sunder hrudaya manish rani didi bahut clear heart manish kouthi rajucha didi
ನಾನು ವೆಜ್❤,positive,ನಾನು ವೆಜ್❤
Soooo cute 😍,positive,soooo cute
Iran ❤❤❤❤,positive,iran ❤❤❤❤
KICCHA FOREVER......❤,positive,kiccha forever❤
Yes Rahul Khan is a mad perssion 😂,neutral,yes rahul khan mad perssion
ಇಗಲು ಇಂತಹ ಯಸ್ಟೊಜನ ಮೊಸಕ್ಕೆ ಸಿಲುಕಿ ಸಾಯಿತಾಯಿದಾರೆ. 😢 ಅವರನ್ನ ಸರ್ಕಾರನನೆ ರಕ್ಷಿಸುತ್ತಿದೆ. ..... ಮರಣ ದಂಡನೆ ತಗೆದುಹಾಕಿ.,negative,ಇಗಲು ಇಂತಹ ಯಸ್ಟೊಜನ ಮೊಸಕ್ಕೆ ಸಿಲುಕಿ ಸಾಯಿತಾಯಿದಾರೆ ಅವರನ್ನ ಸರ್ಕಾರನನೆ ರಕ್ಷಿಸುತ್ತಿದೆ ಮರಣ ದಂಡನೆ ತಗೆದುಹಾಕಿ
Namna bharathadha raaja kaaranige norh korea treatment kodabeku,neutral,namna bharathadha raaja kaaranige norh korea treatment kodabeku
"Yes it's e passport for everyone, i just got today.😊",positive,yes passport everyone got today😊
binod,neutral,binod
"Watching on 31 march 2025 
 Can't believe that first lockdown was 5 years ago from today 😟😳",neutral,watching march cant believe first lockdown year ago today
👍👌👌👌👌👌,positive,👍👌👌👌👌👌
ആനന്ദപ്പള്ളി,neutral,ആനന്ദപ്പള്ളി
Love ❤,positive,love
"കുറ്റം ചെയ്യുന്നവർക്ക് എല്ലാ ആനുകൂല്യവും ജീവിതകാലം വരെ റദ്ദാക്കണം. അർഹരായവർ എന്നും ആനുകൂല്യത്തിന് പുറത്തും, അല്ലാത്തവർ അകത്തും ആകുന്ന അവസ്ഥ മാറണം. എല്ലാ സർട്ടിഫിക്കറ്റ് കളും പുനപരിശോധിച്ചു നടപടി വേഗത്തിൽ എടുക്കണം. വൈകി ലഭിക്കുന്ന നീതി മിക്കപ്പോഴും അനീതി തന്നെയാണ്",neutral,കുറ്റം ചെയ്യുന്നവർക്ക് എല്ലാ ആനുകൂല്യവും ജീവിതകാലം വരെ റദ്ദാക്കണം അർഹരായവർ എന്നും ആനുകൂല്യത്തിന് പുറത്തും അല്ലാത്തവർ അകത്തും ആകുന്ന അവസ്ഥ മാറണം എല്ലാ സർട്ടിഫിക്കറ്റ് കളും പുനപരിശോധിച്ചു നടപടി വേഗത്തിൽ എടുക്കണം വൈകി ലഭിക്കുന്ന നീതി മിക്കപ്പോഴും അനീതി തന്നെയാണ്
Kal hi kharida bahut heating ho raha he paysa weaste,neutral,kal kharida bahut heating raha paysa weaste
Judge ayya: mannippu tamil la yenakku pudikkatha ore vaarthai😂,positive,judge ayya mannippu tamil yenakku pudikkatha ore vaarthai😂
My love you parkasha Sri 🤚🤚🤚🤚🤝🤝🤝🤝,positive,love parkasha sri 🤚🤚🤚🤚🤝🤝🤝🤝
Happy Birthday bhaiya u live long and safe life ❤️❤️,positive,happy birthday bhaiya live long safe life ❤️❤️
14 years❤❤,positive,years❤❤
So cute,positive,cute
What goes around comes around. Karma for India,neutral,go around come around karma india
😂😂😂 bhikaristan,positive,😂😂😂 bhikaristan
💯👌🏽 wow,positive,💯👌🏽 wow
Bhai isme sameer sa ko sa bol rha hai yeh mai kaise rakhlu 😅 kis kis ne notice kiya,positive,bhai isme sameer bol rha hai yeh mai kaise rakhlu ki ki notice kiya
Dur hoye ja রাজ্যে থেকে অযোগ্য,neutral,dur hoye রাজ্যে থেকে অযোগ্য
"Omkar is very irritating . 
 Justice for Amol Palekar",neutral,omkar irritating justice amol palekar
"Charithre channel avrdu voice worst, 
 
 Kannada tech for you voice best of best ❤❤",positive,charithre channel avrdu voice worst kannada tech voice best best
"News No.8 Direct loot and corruption of political parties,which showing ruling party is most corrupted, also clarify the chanda of beaf company!",positive,news direct loot corruption political partieswhich showing ruling party corrupted also clarify chanda beaf company
"Prajkta ordu nako
 Aavaj mardani hoil",neutral,prajkta ordu nako aavaj mardani hoil
Jay Jagannath moning sir,neutral,jay jagannath moning sir
not less than a movie,neutral,less movie
"ഡൽഹിയിൽ മുഖ്യനും ഗവർ നറും പുട്ടും കടലയും കഴിക്കുന്നു
 കേരള ത്തില് അണികൾ തെരുവിൽ പട്ടികയും, കല്ലും കൊണ്ട് അടി കൂടുന്നു...",neutral,ഡൽഹിയിൽ മുഖ്യനും ഗവർ നറും പുട്ടും കടലയും കഴിക്കുന്നു കേരള ത്തില് അണികൾ തെരുവിൽ പട്ടികയും കല്ലും കൊണ്ട് അടി കൂടുന്നു
can anyone tell me what is the name of the white sauce on the right and how is it made,neutral,anyone tell name white sauce right made
Modi should focus on providing jobs jobs jobs in India,neutral,modi focus providing job job job india
Super 😂😂😂😂😂😂,positive,super 😂😂😂😂😂😂
চোর,neutral,চোর
Lagga didi,neutral,lagga didi
Anyone who 2025😂😂,positive,anyone
Ferdinand,neutral,ferdinand
Sir it's very disappointing. Inspite of so many comments ur volume is not improved. Nice content but very difficult to hear it. Plz do something for it. Thank you,negative,sir disappointing inspite many comment volume improved nice content difficult hear plz something thank
Muh me pani aagyaa😅😁,positive,muh pani aagyaa😅😁
Anyone in 2040? ❤😂😂❤,positive,anyone ❤😂😂❤
Are you guys Tamil ? Sri Lanka? Or south India ?,neutral,guy tamil sri lanka south india
হায়রে কার্টুন 😅,positive,হায়রে কার্টুন
Madagascar,neutral,madagascar
കണ്ണേ കരളേ വിസ്സേ ...,neutral,കണ്ണേ കരളേ വിസ്സേ
ତମେ court ଯାଅ agreement paper ନେଇକି,positive,ତମେ court ଯାଅ agreement paper ନେଇକି
কতবার রাজনীতি ছাড়বেন,neutral,কতবার রাজনীতি ছাড়বেন
Ipo manasilayo mapra myre malsara ottam പ്രേരിപ്പിക്കുന്നത് ksrtc anenu.... Avanmark onnu othuki kodukamalo venel?,neutral,ipo manasilayo mapra myre malsara ottam പ്രേരിപ്പിക്കുന്നത് ksrtc anenu avanmark onnu othuki kodukamalo venel
Killing it,negative,killing
"Anyone in 2025..😂..
 10.58.. Daant baant chor nipple ukhad le 😂😂",positive,anyone daant baant chor nipple ukhad
Hjj,neutral,hjj
Only Corruption,neutral,corruption
Thankyounewsrepoter,neutral,thankyounewsrepoter
Anyone from june 2025,neutral,anyone june
"Being an Indian, why are you making videos on America and Ukraine? Apne desh pe dhyan de aur khush reh na bhai..",neutral,indian making video america ukraine apne desh dhyan aur khush reh bhai
Ami married hoa dakhci,neutral,ami married hoa dakhci
Aha ki saab jukti…ghenna hoi nijer opor bangali bole,neutral,aha saab jukti…ghenna hoi nijer opor bangali bole
9 saal baad bhi funny hai 😂,positive,saal baad bhi funny hai
My ❤Cartun,neutral,❤cartun
"I live in Canada for last 48 years, and it’s a wonderful place, but problems started when liberal government started giving “immigrants” free money, that was burdened on the system.. and Chinese were buying houses in Vancouver and left them empty.. we don’t have corporations, bribery but values of time is very important… yes we do have some problems with economic issues… hopefully will get sorted out when new government will come next year.. not with EVM",positive,live canada last year wonderful place problem started liberal government started giving immigrant free money burdened system chinese buying house vancouver left empty corporation bribery value time important… yes problem economic issues… hopefully get sorted new government come next year evm
এই গল্পটা আমদের বইয়ে আছে কিন্তু একটু অন্য রকম,neutral,গল্পটা আমদের বইয়ে আছে কিন্তু একটু অন্য রকম
my favourite pic 💙💙💙,positive,favourite pic 💙💙💙
Odisha sarkar kebe Bangladeshi Rohingya nku chinhata kari bitadita karibe ?,neutral,odisha sarkar kebe bangladeshi rohingya nku chinhata kari bitadita karibe
Can I connect this lhdc with my realme 12 pro,neutral,connect lhdc realme pro
I guess Vishal should be here 🤧,neutral,guess vishal
False. Elon and Trump don't want to eliminate Deep State. They just want to replace the current one with their own.,neutral,false elon trump dont want eliminate deep state want replace current one
কলেজ,neutral,কলেজ
मोरे सर्,neutral,मोरे सर्
Sahi bt h 💗💗,positive,sahi
बरोबर पृथ्वीक मी सारखे m h j पाहतो म्हणुन सारखे m h j चे व्हिडिओ युट्युच माला पाठवत असते 👍 5:51,neutral,बरोबर पृथ्वीक सारखे पाहतो म्हणुन सारखे व्हिडिओ युट्युच माला पाठवत असते
Love you India🇮🇳🇮🇳🇮🇳❤❤❤❤,positive,love india🇮🇳🇮🇳🇮🇳❤❤❤❤
Good morning malkangiri Jay Jagannath Jay Mata di Jay Shri Ram Jay Bajrangbali Jay Shri Ganesh Jay shine dave Om no Shivay Jay Shri Krishna Govind Jay Dattatreya Shubh shakal,negative,good morning malkangiri jay jagannath jay mata jay shri ram jay bajrangbali jay shri ganesh jay shine dave shivay jay shri krishna govind jay dattatreya shubh shakal
#bologuruji about ipad 11 with a16 and 128 gb rom in same price as ipad 10th gen,neutral,bologuruji ipad rom price ipad gen
"You will make vidoe on it because Modi govt. Is nothing in the power ....
 
 Shame on you niyu ...
 Why did you shut up your mouth about recently Up rape case . Shame on you",negative,make vidoe modi govt nothing power shame niyu shut mouth recently rape case shame
😍,neutral,
His vision was ❤ regarding the problems ❤,positive,vision regarding problem
हे जर कलाकार असतील तर मग महाराष्ट्रातला प्रत्येक व्यक्ती कलाकार आहे ते पण यापेक्षा भारी,neutral,कलाकार असतील महाराष्ट्रातला प्रत्येक व्यक्ती कलाकार आहे यापेक्षा भारी
MANIPUR VIOLENCE IS ROLLING SIBCE LONG WHERE MODI GOVEN SPEECH 30 SEXOND BLAMING UTTAM KUMAR BUSWAL SPIRTIUALIST SRIRAMABHAKTA FOLDEDHANDS MANIPURBASI KOTI KOTI MOTHERS SISYERS IF BLEESED UTTAM KUMAR BISWAK PM ONEDAY HACJED SOCIAL MEADIAS ACTIVE TO KNOW MUST SOLVE LIKLY RKG ISSUE KOLKOTA SOUMNATHDEB DOCTOR RAPED MURDERED NIHTHIURS SMAUGUST 2024 HACJED SEEN SOCIAL NEADIAS SEEN ONLY ALL INDIA MEDICAL STUDENT DOCYORS OROFESSORS HID LHV NIURSE MEDICAL ATTENDANT ANBULANCESTAFD MINIMUM 34 LAKH EMPOYEES CALLED OFF ONLY ONE MESSAGES CONSISTING OF 20 LINES SIMOLARILY NIA BANGLADESH HINDUSIM OEACE ETC DSO.MANY HACJED MEADIAS THANKED,negative,manipur violence rolling sibce long modi goven speech sexond blaming uttam kumar buswal spirtiualist sriramabhakta foldedhands manipurbasi koti koti mother sisyers bleesed uttam kumar biswak oneday hacjed social meadias active know must solve likly rkg issue kolkota soumnathdeb doctor raped murdered nihthiurs smaugust hacjed seen social neadias seen india medical student docyors orofessors hid lhv niurse medical attendant anbulancestafd minimum lakh empoyees called one message consisting line simolarily nia bangladesh hindusim oeace etc dsomany hacjed meadias thanked
zardari ne naapakistan mujhe beach diya,neutral,zardari naapakistan mujhe beach diya
Good morning sir 🙏🙏🙏🎉🎉,positive,good morning sir 🙏🙏🙏🎉🎉
ಸಾವಿನ ಅನುಭವ ಆಗುವಂತ ಚಿತ್ರ ಹಿಂಸೆ ಕೊಡ್ಬೇಕು ಸಾಯೋಕು ಬಿಡ್ಬರ್ದು ಬದುಕೊಕು ಬಿಡ್ಬರ್ದು 😡,neutral,ಸಾವಿನ ಅನುಭವ ಆಗುವಂತ ಚಿತ್ರ ಹಿಂಸೆ ಕೊಡ್ಬೇಕು ಸಾಯೋಕು ಬಿಡ್ಬರ್ದು ಬದುಕೊಕು ಬಿಡ್ಬರ್ದು
It's always nice to see with how much joy these old people enjoy their rice!,positive,always nice see much joy old people enjoy rice
IRAN big salute 💪🏻💪🏻💪🏻💪🏻🌹🌹🌹,neutral,iran big salute 💪🏻💪🏻💪🏻💪🏻🌹🌹🌹
গল্পগুলো আমার খুব সুন্দর লাগে দেখতে,neutral,গল্পগুলো আমার খুব সুন্দর লাগে দেখতে
Cheli ku kati mari khauchanti motton,neutral,cheli kati mari khauchanti motton
Isha De 👎👎👎👎👎 flop,neutral,isha 👎👎👎👎👎 flop
Sir yeno kushi sir niv hako video noduki,neutral,sir yeno kushi sir niv hako video noduki
Jai modi bagavan amar deva manava ki jai,neutral,jai modi bagavan amar deva manava jai
"সবটাকা চুড়ি করে খেয়ে নেবে, কেন দেবে টাকা কেন্দ্র সরকার, আবার এদিকে বিজেপি কে ভোট দিতে দেবে না,",neutral,সবটাকা চুড়ি করে খেয়ে নেবে কেন দেবে টাকা কেন্দ্র সরকার আবার এদিকে বিজেপি ভোট দিতে দেবে
Eu Gosto muito desses vidéos . Eles falamdo é muito légau ale uestestem til😂❤️❤️😘,positive,gosto muito desses vidéos eles falamdo muito légau ale uestestem til😂❤️❤️😘
2025 attendance,neutral,attendance
മുഖ്യ മന്ത്രിയുടെ ദുരിതാശ്വാസ നിധി യിൽ നിന്നും ആർകെങ്കിലും എന്തെങ്കിലും കിട്ടിയോ?,neutral,മുഖ്യ മന്ത്രിയുടെ ദുരിതാശ്വാസ നിധി യിൽ നിന്നും ആർകെങ്കിലും എന്തെങ്കിലും കിട്ടിയോ
गौरव आणि ओंकार यांना परत बोलवा,neutral,गौरव आणि ओंकार यांना परत बोलवा
അവന്‍ ambulance ആണ് ഓടിക്കുന്നത് വിചാരം.,neutral,അവന്‍ ambulance ആണ് ഓടിക്കുന്നത് വിചാരം
Hello 👋 bro😊,positive,hello bro😊
🌹🌹🌹,neutral,🌹🌹🌹
Definitely definitely according to me Sony and HTC need to be come back in India they really make amazing phones,positive,definitely definitely according sony htc need come back india really make amazing phone
❤️❤️❤️❤️,neutral,❤️❤️❤️❤️
Hi Gantelmans we are in dr MG ramchandrn station in chennai and I want going on your village ya city,neutral,gantelmans ramchandrn station chennai want going village city
Poor condition hai toh poor toh dikhega 😒,negative,poor condition hai toh poor toh dikhega
Bhavin and vishal look same,neutral,bhavin vishal look
खरी कॉमेडी तर प्रसाद ओक यांनी केली 😂😂,positive,खरी कॉमेडी प्रसाद यांनी केली
Indian have to become vocal on International media and explain its view point politely and firmly. No aggression but force fully by younger generations.,neutral,indian become vocal international medium explain view point politely firmly aggression force fully younger generation
We Gujarati People are lucky as we had got CM as Modiji who has realized this problem in 2003-2004 so he has made plant to increase water level in Gujarat. We need visionary CM in each state like Modiji who is non-corrupt and work towards future problems well in advance to tackle with that problem.,negative,gujarati people lucky got modiji realized problem made plant increase water level gujarat need visionary state like modiji noncorrupt work towards future problem well advance tackle problem
Sabarimalayile bhagawan Ayappane kalyanam kazhipikan nokiyathalle Velivillatha CPM nookukuli chethukaru. Alavalathikal Muslim samudayathile pennugale ketate.Thendikal Umma enn vilikam,neutral,sabarimalayile bhagawan ayappane kalyanam kazhipikan nokiyathalle velivillatha cpm nookukuli chethukaru alavalathikal muslim samudayathile pennugale ketatethendikal umma enn vilikam
❤️🥺💐🌹👿,negative,❤️🥺💐🌹👿
Good morning 🌄🌅🌄🌄 Jay maa tarini 🌺🌺🌺🌺🌺🌺🌺🌺,positive,good morning 🌄🌅🌄🌄 jay maa tarini 🌺🌺🌺🌺🌺🌺🌺🌺
Priya la as bghun zop lagat nahi ata😂,positive,priya bghun zop lagat nahi ata😂
Kon Software diya aii gulo banau,neutral,kon software diya aii gulo banau
അമേരിക നാടകം കളിച്ചു ഇസ്രയലിന്റെ കാര്യം കട്ട പുക,neutral,അമേരിക നാടകം കളിച്ചു ഇസ്രയലിന്റെ കാര്യം കട്ട പുക
Ejjdidbdidjdndjsjdjiri the o uhdjaBja#(*😢😢🎉😮😂😅😂😅😂❤😊❤😊😅🎉😮🎉😮🎉❤❤😊❤,positive,ejjdidbdidjdndjsjdjiri uhdjabja😢😢🎉😮😂😅😂😅😂❤😊❤😊😅🎉😮🎉😮🎉❤❤😊❤
Very good morning news for all..,positive,good morning news
😂 സംഘിയുടെ അണ്ടിമുക്ക് ശാഖ നിലവിളി 😂,positive,സംഘിയുടെ അണ്ടിമുക്ക് ശാഖ നിലവിളി
amithab bachan familne enu kisdilla,neutral,amithab bachan familne enu kisdilla
অনেক সুন্দর হয়ছে,neutral,অনেক সুন্দর হয়ছে
